Environment_Type,Vertical/Industry,Company_Size,Hypervisor_Type,Storage_Type,Current_IT_Environment,Existing_Compute_Vendor,Existing_Switch_Vendor,Existing_Storage_Vendor,Current_Access_Protocol,Data_Protection_Strategy_Type,Current_Backup_Type,Current_Backup_Software,Existing_Cloud_Provider,AI_Readiness,Dell_Recommended_Server_Model,Dell_Recommended_Networking_Solution,Dell_Recommended_Storage_Product,Dell_Recommended_HCI_Solution,Dell_Recommended_Data_Protection_Solution,Cloud_UseCase_to_APEX_Mapping
Brownfield,Publishing/CSP,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,SMB,,Block,Entry level Environment,Dell,Dell,,FC/iSCSI,Snapshot,Differential,Avamar,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,IT Services,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Education,Mid,,File,Hybrid NAS Environment,Dell,Brocade,,NFS,Backup,Differential,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Brownfield,Government,Enterprise,,File,Active Archive NAS Environment,Dell,Dell,,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Brownfield,Public Sector,Large,,Object,S3 Environment,Dell,Dell,,S3,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Logistics,Mid,,Unified,Business Critical Modern Environment,Dell,Dell,,FC/iSCSI/NFS/NVMe,Backup,Full,Druva,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Education,Mid,,File,Extreme performance NAS Environment,Dell,Dell,,NFS,Backup,Incremental,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Finance,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Engineering,Mid,,File,Extreme performance NAS Environment,Dell,Cisco,,NFS,Backup,Incremental,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Legal,SMB,,Block,Entry level Environment,Dell,Brocade,,FC/iSCSI,Backup,Incremental,Commvault,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Dell PowerProtect Data Domain,
Brownfield,Utilities/Environment,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Energy,SMB,,Block,Entry level Environment,,Dell,,FC/iSCSI,Backup,Differential,Druva,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,Enterprise,,Unified,Business Critical Modern Environment,Dell,Cisco,EMC,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Healthcare,Enterprise,,Unified,Business Critical Modern Environment,Dell,Cisco,IBM,FC/iSCSI/NFS/NVMe,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Retail,Mid,,Cloud native,Cloud native Scalable S3 Environments,Dell,Dell,,multiprotocol,Backup,Incremental,Avamar,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Food & Beverage,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Public Sector,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Education,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,IBM,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Food & Beverage,SMB,,Block,Entry level Environment,,,,FC/iSCSI,Backup,,,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Dell PowerProtect Data Domain,
Brownfield,Transportation,Mid,,Cloud native,Cloud native Scalable S3 Environments,,Cisco,,multiprotocol,Backup,Incremental,PowerProtect,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Legal,SMB,,Cloud native,Cloud native Scalable S3 Environments,Dell,Cisco,,multiprotocol,Backup,Incremental,PowerProtect,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Energy,Enterprise,,Unified,Business Critical Modern Environment,Dell,Dell,,FC/iSCSI/NFS/NVMe,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Retail,Large,VMware,Block,Entry level VMWare Environment,Dell,Dell,,FC/iSCSI,Backup,Differential,Veeam,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Manufacturing,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,NetApp,NFS,Backup,Full,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,IBM,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Government,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Education,Mid,,File,Active Archive NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Archive series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Manufacturing,Enterprise,,File,Extreme performance NAS Environment,Dell,Juniper,,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Transportation,SMB,,Block,Entry level Environment,,Dell,,FC/iSCSI,Backup,Differential,Druva,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Dell PowerProtect Data Domain,
Greenfield,Legal,Enterprise,,File,Active Archive NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Greenfield,IT Services,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,Enterprise,,Unified,Business Critical Modern Environment,Dell,Dell,EMC,FC/iSCSI/NFS/NVMe,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Finance,Enterprise,,Block,Mission Critical Environment,,,,FC/iSCSI,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Greenfield,Education,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Legal,Enterprise,,File,Active Archive NAS Environment,,Dell,,NFS,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Greenfield,Insurance,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Utilities/Environment,Mid,,File,Active Archive NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Brownfield,IT Services,Large,,Unified,Business Critical Modern Environment,Dell,Dell,,FC/iSCSI/NFS/NVMe,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Oil & Gas,SMB,,Block,Entry level Environment,Dell,Dell,,FC/iSCSI,Snapshot,Incremental,Avamar,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Education,Enterprise,,File,Hybrid NAS Environment,Dell,Dell,,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Brownfield,Life Sciences,SMB,,Cloud native,Cloud native Scalable S3 Environments,Dell,Dell,,multiprotocol,Backup,Incremental,PowerProtect,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Food & Beverage,Enterprise,,File,Hybrid NAS Environment,Dell,Dell,,NFS,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Brownfield,Pharma,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Healthcare/Gov,Large,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,IT Hosting,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Energy,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,Dell,Juniper,,FC/iSCSI,Backup,Full,Druva,,Not ready,,,,Dell PowerFlex HCI,,
Greenfield,Legal,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Food & Beverage,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Government,Enterprise,,Block,Mission Critical Environment,Dell,Brocade,EMC,FC/iSCSI,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Brownfield,Energy,Large,,Object,S3 Environment,Dell,Dell,,S3,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Retail,Mid,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Biotech,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Legal,Enterprise,,Unified,Business Critical Modern Environment,Dell,Brocade,EMC,FC/iSCSI/NFS/NVMe,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Energy,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Media,Mid,,Unified,Balanced Performance Environments,Dell,Dell,,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell Unity XT,,Dell PowerProtect Data Domain,
Brownfield,Manufacturing,SMB,,Block,Entry level Environment,Dell,Arista,,FC/iSCSI,Snapshot,Incremental,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerVault,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Research,Large,,File,Extreme performance NAS Environment,Dell,Dell,,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Education,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell PowerFlex HCI,,
Brownfield,Nonprofit,Enterprise,,File,Hybrid NAS Environment,,Dell,,NFS,Snapshot,Incremental,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Logistics,Large,,Object,S3 Environment,Dell,Juniper,,S3,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Finance,Large,VMware,Block,Entry level VMWare Environment,Dell,Dell,,FC/iSCSI,Backup,Incremental,PowerProtect,,Not ready,,,,Dell VxRail (from Logic),,
Greenfield,Pharma,Enterprise,VMware,Block,Business Critical VMWare Environment,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell VxRail (from Logic),,
Greenfield,Retail,SMB,VMware,Block,Durable Edge VMWare Environment,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Government,Enterprise,VMware,Block,Visualization Graphics Intensive VMWare Environment,Dell,Cisco,EMC,FC/iSCSI,Snapshot,Incremental,PowerProtect,,Not ready,,,,Dell VxRail (from Logic),,
Greenfield,Healthcare,Enterprise,VMware,Block,Business Critical VMWare Environment,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Manufacturing,Enterprise,VMware,Block,Visualization Graphics Intensive VMWare Environment,Dell,Brocade,EMC,FC/iSCSI,Backup,Full,Avamar,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Education,SMB,VMware,Block,Durable Edge VMWare Environment,Dell,Juniper,,FC/iSCSI,Backup,Differential,Veeam,,Not ready,,,,Dell VxRail (from Logic),,
Greenfield,Media,Large,VMware,Block,Storage dense VMWare Environment,,,,FC/iSCSI,Snapshot,,,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Government,Mid,,Block,Asymmetrical scaling VMWare Environment,,Dell,EMC,S3,Backup,Incremental,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell VxRail Dynamic Node,,Dell PowerProtect Data Domain,
Greenfield,Healthcare,Large,VMware,Block,Entry level VMWare Environment,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Finance,Mid,,Block,Asymmetrical scaling VMWare Environment,Dell,Dell,NetApp,FC/iSCSI,Backup,Full,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell VxRail Dynamic Node,,Dell PowerProtect Data Domain,
Greenfield,Healthcare,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Snapshot,,,,Not ready,,,,Dell PowerFlex HCI,,
Brownfield,Legal,Enterprise,VMware,Block,Visualization Graphics Intensive VMWare Environment,Dell,Brocade,EMC,FC/iSCSI,Backup,Full,Data Domain,,Not ready,,,,Dell VxRail (from Logic),,
Greenfield,Pharma,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell Data Domain Virtual Edition,
Greenfield,Engineering,Large,VMware,Block,Storage dense VMWare Environment,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Public Sector,Mid,,Block,Asymmetrical scaling VMWare Environment,Dell,Dell,,S3,Backup,Incremental,Druva,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell VxRail Dynamic Node,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,Distribution,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell PowerFlex HCI,,
Brownfield,Government,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,IBM,NVMe/TCP,Backup,Full,Data Domain,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Brownfield,Food & Beverage,Large,Multi-hypervisor,Block,Cloud native Containerized Environments,,Dell,WD,FC/iSCSI,Snapshot,Differential,Veeam,,Not ready,,,,Dell PowerFlex HCI,,
Brownfield,Research,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,,NVMe/TCP,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Brownfield,Education,Enterprise,,Block,Highly Scalabale Environment,,Dell,,NVMe/TCP,Snapshot,Incremental,Avamar,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,,
Brownfield,Manufacturing,Enterprise,,Block,Highly Scalabale Environment,Dell,Cisco,,NVMe/TCP,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Brownfield,Insurance,Large,Multi-hypervisor,Block,Cloud native Containerized Environments,Dell,Dell,,FC/iSCSI,Snapshot,Differential,Avamar,,Not ready,,,,Dell PowerFlex HCI,,
Brownfield,Biotechnology,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,,NVMe/TCP,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Brownfield,IT Services,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,,NVMe/TCP,Backup,Full,Data Domain,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Brownfield,Manufacturing,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,,NVMe/TCP,Snapshot,Incremental,PowerProtect,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,,
Brownfield,Legal,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,Dell,Brocade,EMC,FC/iSCSI,Backup,Full,PowerProtect,,Not ready,,,,Dell PowerFlex HCI,,
Brownfield,Nonprofit,Large,Multi-hypervisor,Block,Cloud native Containerized Environments,,Dell,,FC/iSCSI,Snapshot,Incremental,Veeam,,Not ready,,,,Dell PowerFlex HCI,,
Greenfield,Agriculture,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Snapshot,,,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,,
Brownfield,Government,Mid,VMware,Block,Visualization Graphics Intensive VMWare Environment,Dell,Cisco,,FC/iSCSI,Backup,Full,PowerProtect,,Not ready,,,,Dell VxRail (from Logic),,
Greenfield,Insurance,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Brownfield,Retail,Large,VMware,Block,Storage dense VMWare Environment,Dell,Dell,,FC/iSCSI,Backup,Full,Avamar,,Not ready,,,,Dell VxRail (from Logic),,
Greenfield,Logistics,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Snapshot,,,,Not ready,,,,Dell PowerFlex HCI,,
Greenfield,Telecom,Mid,,Block,Asymmetrical scaling VMWare Environment,,,,FC/iSCSI,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell VxRail Dynamic Node,,Dell PowerProtect Data Domain,
Brownfield,Pharma,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,,NVMe/TCP,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,Nonprofit,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Snapshot,,,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,,
Brownfield,Education,Large,Multi-hypervisor,Block,Cloud native Containerized Environments,Dell,Dell,,FC/iSCSI,Backup,Differential,Druva,,Not ready,,,,Dell PowerFlex HCI,,
Greenfield,Healthcare,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,Legal,SMB,VMware,Block,Business Critical VMWare Environment,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Retail,Enterprise,VMware,Block,Business Critical VMWare Environment,Dell,Dell,,FC/iSCSI,Backup,Full,Druva,,Not ready,,,,Dell VxRail (from Logic),,
Brownfield,Engineering,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,,NVMe/TCP,Backup,Incremental,Avamar,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell Data Domain Virtual Edition,
Brownfield,Government,Enterprise,,Block,Highly Scalabale Environment,Dell,Cisco,EMC,NVMe/TCP,Backup,Full,Data Domain,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,Transportation,Mid,,Block,Asymmetrical scaling VMWare Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell VxRail Dynamic Node,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Manufacturing,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,IT Hosting,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell PowerFlex HCI,,
Greenfield,Biotech,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Brownfield,Legal,Enterprise,,Block,Highly Scalabale Environment,Dell,Brocade,EMC,NVMe/TCP,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,Energy,Large,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Snapshot,,,,Not ready,,,,Dell PowerFlex HCI,,
Greenfield,Education,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell Data Domain Virtual Edition,
Brownfield,Oil & Gas,Enterprise,,Block,Highly Scalabale Environment,Dell,Brocade,EMC,NVMe/TCP,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,Government,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell Data Domain Virtual Edition,
Greenfield,Manufacturing,Enterprise,,Block,Highly Scalabale Environment,,,,NVMe/TCP,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell PowerProtect Data Domain,
Greenfield,Pharma,Large,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell PowerFlex HCI,,
Greenfield,IT Services,Enterprise,Multi-hypervisor,Block,Cloud native Containerized Environments,,,,FC/iSCSI,Backup,,,,Not ready,,,,Dell PowerFlex HCI,,
Brownfield,IT Services,Enterprise,,Block,Highly Scalabale Environment,Dell,Dell,,NVMe/TCP,Backup,Incremental,Data Domain,,Edge,Dell PowerFlex Disaggregated,Dell PowerSwitch Z Series,Dell PowerFlex Disaggregated,,Dell Data Domain Virtual Edition,
Greenfield,Government,SMB,VMware,Block,Entry level VMWare Environment,,,,FC/iSCSI,Snapshot,,,,Not ready,,,,Dell VxRail (from Logic),,
